old_tag,new_tag,action,notes,parent_broader_category
Mr Arthur Wright,Mr Arthur Wright,hierarchy,parent=named persons,
Mr Banfield,Mr Banfield,hierarchy,parent=named persons,
Mr C J Ellis,Mr C J Ellis,hierarchy,parent=named persons,
Mr C James,Mr C James,hierarchy,parent=people - THEMATIC,
Mr C James,Mr C James,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr C Rowell,Mr C Rowell,hierarchy,parent=people - THEMATIC,
Mr C Rowell,Mr C Rowell,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr C W Craig,Mr C W Craig,hierarchy,parent=named persons,
Mr C Wilkinson,Mr C Wilkinson,hierarchy,parent=people - THEMATIC,
Mr C Wilkinson,Mr C Wilkinson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Charles E Hoffman,Mr Charles E Hoffman,hierarchy,parent=named persons,
Mr Charles George Gordon,Major Sir Charles George Gordon,synonym,Variant form without military rank and honorific,
Mr Charles Pratt,Mr Charles Pratt,hierarchy,parent=named persons,
Mr Charles Wooller,Mr Charles Wooller,hierarchy,parent=named persons,
Mr Christopher Webb,Mr Christopher Webb,hierarchy,parent=named persons,
Mr Clydesdale,Mr Clydesdale,hierarchy,parent=named persons,
Mr Crawford,Mr Crawford,hierarchy,parent=people - THEMATIC,
Mr Crawford,Mr Crawford,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr D Brown,Mr D Brown,hierarchy,parent=hotelliers,
Mr D J Dunbar,Mr D J Dunbar,hierarchy,parent=named persons,
Mr D McKillop,Mr D McKillop,hierarchy,parent=people - THEMATIC,
Mr D McKillop,Mr D McKillop,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr D Morsby,Mr D Morsby,hierarchy,parent=named persons,
Mr D O'Keefe,Mr D O'Keefe,hierarchy,parent=named persons,
Mr D Thompson,Mr D Thompson,hierarchy,parent=hotelliers,
Mr D Thomson,Mr D Thomson,hierarchy,parent=hotelliers,
Mr D. Brown,Mr D. Brown,hierarchy,parent=hotelliers,
Mr D. Thompson,Mr D. Thompson,hierarchy,parent=hotelliers,
Mr Dalwood,Mr Dalwood,hierarchy,parent=named persons,
Mr David Brown,Mr D Brown,synonym,Full first name variant of abbreviated form,
Mr David Hamilton,Mr David Hamilton,hierarchy,parent=named persons,
Mr David Morgan,Mr David Morgan,hierarchy,parent=people - THEMATIC,
Mr David Morgan,Mr David Morgan,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Delaney,Mr Delaney,hierarchy,parent=hotelliers,
Mr Douglass,Mr Douglass,hierarchy,parent=named persons,
Mr E E Medlicott,Mr E E Medlicott,hierarchy,parent=named persons,
Mr E Jordan,Mr E Jordan,hierarchy,parent=named persons,
Mr Edward J Delaney,Mr Edward J Delaney,hierarchy,parent=named persons,
Mr Edward Pearson,Mr Edward Pearson,hierarchy,parent=named persons,
Mr Edwards,Mr Edwards,hierarchy,parent=hotelliers,
Mr Ellis,Mr Ellis,hierarchy,parent=hotelliers,
Mr Evan Thomas Meredith,Mr Evan Thomas Meredith,hierarchy,parent=people - THEMATIC,
Mr Evan Thomas Meredith,Mr Evan Thomas Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Frederick Charles Goyder,Mr Frederick Charles Goyder,hierarchy,parent=named persons,
Mr G Donald,Mr G Donald,hierarchy,parent=named persons,
Mr G Griffiths,Mr G Griffiths,hierarchy,parent=named persons,
Mr G McKillop,Mr G McKillop,hierarchy,parent=people - THEMATIC,
Mr G McKillop,Mr G McKillop,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr G R Dibbs,Mr G R Dibbs,hierarchy,parent=named persons,
Mr G W Spring,Mr G W Spring,hierarchy,parent=named persons,
Mr Gannon,Mr Gannon,hierarchy,parent=named persons,
Mr George Bremmer Dunn,Mr George Bremmer Dunn,hierarchy,parent=named persons,
Mr George Frederick Goyder,Mr George Frederick Goyder,hierarchy,parent=named persons,
Mr George H Cooper,Mr George H Cooper,hierarchy,parent=named persons,
Mr George James,Mr George James,hierarchy,parent=people - THEMATIC,
Mr George James,Mr George James,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr George Palmer,Mr George Palmer,hierarchy,parent=people - THEMATIC,
Mr George Palmer,Mr George Palmer,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr George Potter,Mr George Potter,hierarchy,parent=people - THEMATIC,
Mr George Potter,Mr George Potter,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr George Susans,Mr George Susans,hierarchy,parent=named persons,
Mr H Roberts,Mr H Roberts,hierarchy,parent=named persons,
Mr H Scope,Mr H Scope,hierarchy,parent=people - THEMATIC,
Mr H Scope,Mr H Scope,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr H W Copeland,Mr H W Copeland,hierarchy,parent=people - THEMATIC,
Mr H W Copeland,Mr H W Copeland,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Hardie Clydesdale,Mr Hardie Clydesdale,hierarchy,parent=horse breeder,
Mr Hardie Clydesdale,Mr Hardie Clydesdale,hierarchy,parent=people - THEMATIC,
Mr Harry Eaton,Mr Harry Eaton,hierarchy,parent=people - THEMATIC,
Mr Harry Eaton,Mr Harry Eaton,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Harry Edwards,Mr Harry Edwards,hierarchy,parent=people - THEMATIC,
Mr Harry Edwards,Mr Harry Edwards,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Harry Peckman,Mr Harry Peckman,hierarchy,parent=people - THEMATIC,
Mr Harry Peckman,Mr Harry Peckman,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Henry Crawford Brown,Mr Henry Crawford Brown,hierarchy,parent=people - THEMATIC,
Mr Henry Crawford Brown,Mr Henry Crawford Brown,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr J Annesley,Mr J Annesley,hierarchy,parent=named persons,
Mr J B North,Mr J B North,hierarchy,parent=named persons,
Mr J H Humbley,Mr J H Humbley,hierarchy,parent=named persons,
Mr J Hudson,Mr J Hudson,hierarchy,parent=hotelliers,
Mr J K Cleeve,Mr J K Cleeve,hierarchy,parent=named persons,
Mr J Nimmo,Mr Joseph Nimmo,synonym,Abbreviated first name variant,
Mr J R Nash,Mr J R Nash,hierarchy,parent=named persons,
Mr J. Hudson,Mr J Hudson,synonym,Punctuated form - use minimal punctuation,
Mr James Hughes,Mr James Hughes,hierarchy,parent=people - THEMATIC,
Mr James Hughes,Mr James Hughes,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr James Hutchinson,Mr James Hutchinson,hierarchy,parent=people - THEMATIC,
Mr James Hutchinson,Mr James Hutchinson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr James Meredith,Mr James Meredith,hierarchy,parent=people - THEMATIC,
Mr James Meredith,Mr James Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr James Miller,Mr James Miller,hierarchy,parent=people - THEMATIC,
Mr James Miller,Mr James Miller,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr James Routley Davey,Mr James Routley Davey,hierarchy,parent=people - THEMATIC,
Mr James Routley Davey,Mr James Routley Davey,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr James Webb,Mr James Webb,hierarchy,parent=people - THEMATIC,
Mr James Webb,Mr James Webb,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Joe Nimmo,Mr Joseph Nimmo,synonym,Informal first name variant,
Mr John Duff,Mr John Duff,hierarchy,parent=named persons,
Mr John Fitzpatrick,Mr John Fitzpatrick,hierarchy,parent=named persons,
Mr John Geggie,Mr John Geggie,hierarchy,parent=named persons,
Mr John Henry Mitchell,Mr John Henry Mitchell,hierarchy,parent=named persons,
Mr John Hurley,Mr John Hurley,hierarchy,parent=named persons,
Mr John Meredith,Mr John Meredith,hierarchy,parent=people - THEMATIC,
Mr John Meredith,Mr John Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr John Norton,Mr John Norton,hierarchy,parent=named persons,
Mr John Still O'Hara,Mr John Still O'Hara,hierarchy,parent=named persons,
Mr John W Fletcher,Mr John W Fletcher,hierarchy,parent=named persons,
Mr John Waudby,Mr John Waudby,hierarchy,parent=people - THEMATIC,
Mr John Waudby,Mr John Waudby,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr John Waudby’s selection (Top Camp),Mr John Waudby’s selection (Top Camp),hierarchy,parent=people - THEMATIC,
Mr John Waudby’s selection (Top Camp),Mr John Waudby’s selection (Top Camp),keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Jones,Mr Jones,hierarchy,parent=named persons,
Mr Joseph Cook,Mr Joseph Cook,hierarchy,parent=named persons,
Mr Joseph Edwards,Mr Joseph Edwards,hierarchy,parent=named persons,
Mr Joseph Meredith,Mr Joseph Meredith,hierarchy,parent=people - THEMATIC,
Mr Joseph Meredith,Mr Joseph Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Joseph Nimmo,Mr Joseph Nimmo,hierarchy,parent=named persons,
Mr Kitch,Mr Kitch,hierarchy,parent=named persons,
Mr L H Howell,Mr L H Howell,hierarchy,parent=named persons,
Mr Lewis Duff,Mr Lewis Duff,hierarchy,parent=named persons,
Mr Lindeman,Mr Lindeman,hierarchy,parent=hotelliers,
Mr Louis Cohen,Mr Louis Cohen,hierarchy,parent=named persons,
Mr Manuel,Mr Manuel,hierarchy,parent=hotelliers,
Mr Mark Foy,Mr Mark Foy,hierarchy,parent=named persons,
Mr Messitter,Mr Messitter,hierarchy,parent=named persons,
Mr N Delaney,Mr N Delaney,hierarchy,parent=hotelliers,
Mr N. Delaney,Mr N. Delaney,hierarchy,parent=hotelliers,
Mr Neate,Mr Neate,hierarchy,parent=named persons,
Mr Nick Zimmo,Mr Nick Zimmo,hierarchy,parent=named persons,
Mr O Purslow,Mr O Purslow,hierarchy,parent=named persons,
Mr O'Hare,Mr O'Hare,hierarchy,parent=named persons,
Mr O'Sullivan,Mr O'Sullivan,hierarchy,parent=named persons,
Mr Owen Owens,Mr Owen Owens,hierarchy,parent=named persons,
Mr P G Whittall,Mr P G Whittall,hierarchy,parent=hotelliers,
Mr P McAviney,Mr P McAviney,hierarchy,parent=named persons,
Mr P Mullany,Mr P Mullany,hierarchy,parent=named persons,
Mr P. G. Whittall,Mr P. G. Whittall,hierarchy,parent=hotelliers,
Mr Parker,Mr Parker,hierarchy,parent=named persons,
Mr Penrose,Mr Penrose,hierarchy,parent=named persons,
Mr Percy Hammond,Mr Percy Hammond,hierarchy,parent=named persons,
Mr Peter O'Donnell,Mr Peter O'Donnell,hierarchy,parent=named persons,
Mr Preston,Mr Preston,hierarchy,parent=named persons,
Mr R Fryer,Mr R Fryer,hierarchy,parent=hotelliers,
Mr R J Bronger,Mr R J Bronger,hierarchy,parent=named persons,
Mr R. Fryer,Mr R. Fryer,hierarchy,parent=hotelliers,
Mr Ralph Hartman,Mr Ralph Hartman,hierarchy,parent=named persons,
Mr Robert Brydon,Mr Robert Brydon,hierarchy,parent=named persons,
Mr Robert H Esgate,Mr Robert H Esgate,hierarchy,parent=named persons,
Mr Robert J Husband,Mr Robert J Husband,hierarchy,parent=people - THEMATIC,
Mr Robert J Husband,Mr Robert J Husband,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Mr Robert Mulholland,Mr Robert Mulholland,hierarchy,parent=people - THEMATIC,
Mr Robert Mulholland,Mr Robert Mulholland,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Robert Nimmo,Mr Robert Nimmo,hierarchy,parent=people - THEMATIC,
Mr Robert Nimmo,Mr Robert Nimmo,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Robert Russell,Mr Robert Russell,hierarchy,parent=named persons,
Mr Rodrigeuz,Mr Rodrigeuz,hierarchy,parent=named persons,
Mr Rubina Fryer,Mr Rubina Fryer,hierarchy,parent=named persons,
Mr S E Hewett,Mr S E Hewett,hierarchy,parent=named persons,
Mr S Whitehead,Mr S Whitehead,hierarchy,parent=people - THEMATIC,
Mr S Whitehead,Mr S Whitehead,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Samuel Austin,Mr Samuel Austin,hierarchy,parent=named persons,
Mr Sheard,Mr Sheard,hierarchy,parent=named persons,
Mr Stanley Gayfer,Mr Stanley Gayfer,hierarchy,parent=named persons,
Mr Stephen Meredith,Mr Stephen Meredith,hierarchy,parent=people - THEMATIC,
Mr Stephen Meredith,Mr Stephen Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr T J Cale,Mr T J Cale,hierarchy,parent=named persons,
Mr T Tiernan,Mr T Tiernan,hierarchy,parent=named persons,
Mr Thomas Austin,Mr Thomas Austin,hierarchy,parent=named persons,
Mr Thomas Cale,Mr Thomas Cale,hierarchy,parent=coach and buggy business,
Mr Thomas Cale,Mr Thomas Cale,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Thomas Cook,Mr Thomas Cook,hierarchy,parent=named persons,
Mr Thomas Greenbank,Mr Thomas Greenbank,hierarchy,parent=people - THEMATIC,
Mr Thomas Greenbank,Mr Thomas Greenbank,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Thomas Hollins,Mr Thomas Hollins,hierarchy,parent=named persons,
Mr Thomas McLaughlin,Mr Thomas McLaughlin,hierarchy,parent=people - THEMATIC,
Mr Thomas McLaughlin,Mr Thomas McLaughlin,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Thomas Meredith,Mr Thomas Meredith,hierarchy,parent=people - THEMATIC,
Mr Thomas Meredith,Mr Thomas Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Thomas Neale,Mr Thomas Neale,hierarchy,parent=people - THEMATIC,
Mr Thomas Neale,Mr Thomas Neale,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Thomas Smith Richardson,Mr Thomas Smith Richardson,hierarchy,parent=people - THEMATIC,
Mr Thomas Smith Richardson,Mr Thomas Smith Richardson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr van Someren,Mr van Someren,hierarchy,parent=clergy,
Mr W H Edwards,Mr W H Edwards,hierarchy,parent=people - THEMATIC,
Mr W H Edwards,Mr W H Edwards,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr W Hocking,Mr W Hocking,hierarchy,parent=named persons,
Mr W J Hart,Mr W J Hart,hierarchy,parent=named persons,
Mr W James,Mr W James,hierarchy,parent=people - THEMATIC,
Mr W James,Mr W James,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr W McMillan,Mr W McMillan,hierarchy,parent=named persons,
Mr W Whitehead,Mr W Whitehead,hierarchy,parent=people - THEMATIC,
Mr W Whitehead,Mr W Whitehead,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr W Wilson,Mr W Wilson,hierarchy,parent=people - THEMATIC,
Mr W Wilson,Mr W Wilson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Walter Meredith,Mr Walter Meredith,hierarchy,parent=people - THEMATIC,
Mr Walter Meredith,Mr Walter Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Watson,Mr Watson,hierarchy,parent=people - THEMATIC,
Mr Watson,Mr Watson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Wilfred Moss,Mr Wilfred Moss,hierarchy,parent=named persons,
Mr Wilkinson,Mr Wilkinson,hierarchy,parent=liquor merchants,
Mr William Austin,Mr William Austin,hierarchy,parent=people - THEMATIC,
Mr William Austin,Mr William Austin,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Baird,Mr William Baird,hierarchy,parent=people - THEMATIC,
Mr William Baird,Mr William Baird,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Clarke,Mr William Clarke,hierarchy,parent=people - THEMATIC,
Mr William Clarke,Mr William Clarke,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Cole,Mr William Cole,hierarchy,parent=people - THEMATIC,
Mr William Cole,Mr William Cole,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Curnow,Mr William Curnow,hierarchy,parent=people - THEMATIC,
Mr William Curnow,Mr William Curnow,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Fell,Mr William Fell,hierarchy,parent=people - THEMATIC,
Mr William Fell,Mr William Fell,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Frederick Goyder,Mr William Frederick Goyder,hierarchy,parent=people - THEMATIC,
Mr William Frederick Goyder,Mr William Frederick Goyder,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William George Long,Mr William George Long,hierarchy,parent=people - THEMATIC,
Mr William George Long,Mr William George Long,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William George Schoeffler,Mr William George Schoeffler,hierarchy,parent=people - THEMATIC,
Mr William George Schoeffler,Mr William George Schoeffler,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Husband,Mr William Husband,hierarchy,parent=people - THEMATIC,
Mr William Husband,Mr William Husband,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Husband,Mr William Husband,keep,Substring coincidence - semantically unrelated concepts (automated triage),
Mr William Lynch,Mr William Lynch,hierarchy,parent=people - THEMATIC,
Mr William Lynch,Mr William Lynch,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William O'Regan,Mr William O'Regan,hierarchy,parent=people - THEMATIC,
Mr William O'Regan,Mr William O'Regan,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Phillips,Mr William Phillips,hierarchy,parent=people - THEMATIC,
Mr William Phillips,Mr William Phillips,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Thomas,Mr William Thomas,hierarchy,parent=people - THEMATIC,
Mr William Thomas,Mr William Thomas,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr William Wallace,Mr William Wallace,hierarchy,parent=people - THEMATIC,
Mr William Wallace,Mr William Wallace,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Wilson,Mr Wilson,hierarchy,parent=hotelliers,
Mr Wilson,Mr Wilson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mr Wrench,Mr Wrench,hierarchy,parent=named persons,
Mr Zack Nimmo,Mr Zack Nimmo,hierarchy,parent=named persons,
Mrs (Joe) Nimmo,Mrs (Joe) Nimmo,hierarchy,parent=hotelliers,
Mrs (R.) Fryer,Mrs (R.) Fryer,hierarchy,parent=hotelliers,
Mrs A Smith,Mrs A Smith,hierarchy,parent=postmasters,
Mrs Brown,Mrs Brown,hierarchy,parent=hotelliers,
Mrs Christina Brydon,Mrs Christina Brydon,hierarchy,parent=named persons,
Mrs Davey,Mrs Davey,hierarchy,parent=people - THEMATIC,
Mrs Davey,Mrs Davey,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs Delaney,Mrs Delaney,hierarchy,parent=people - THEMATIC,
Mrs Delaney,Mrs Delaney,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs Eleanor Meredith,Mrs Eleanor Meredith,hierarchy,parent=people - THEMATIC,
Mrs Eleanor Meredith,Mrs Eleanor Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
"Mrs Elizabeth Eaton (previously Flynn, nee Watkins)","Mrs Elizabeth Eaton (previously Flynn, nee Watkins)",hierarchy,parent=people - THEMATIC,
"Mrs Elizabeth Eaton (previously Flynn, nee Watkins)","Mrs Elizabeth Eaton (previously Flynn, nee Watkins)",keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs Elizabeth Nimmo,Mrs Elizabeth Nimmo,hierarchy,parent=named persons,
Mrs Ellen Hoffman (nee Gavin),Mrs Ellen Hoffman (nee Gavin),hierarchy,parent=named persons,
Mrs Emma Matilda Waudby (nee Phair),Mrs Emma Matilda Waudby (nee Phair),hierarchy,parent=named persons,
Mrs England,Mrs England,hierarchy,parent=postmasters,
Mrs Evelyn Gordon (nee Günther),Mrs Evelyn Gordon (nee Günther),hierarchy,parent=named persons,
Mrs Grace Richmond Battram (nee Jones),Mrs Grace Richmond Battram (nee Jones),hierarchy,parent=named persons,
Mrs H Corston,Mrs H Corston,hierarchy,parent=postmasters,
Mrs Isabella Long (nee Clune),Mrs Isabella Long (nee Clune),hierarchy,parent=named persons,
Mrs James,Mrs James,hierarchy,parent=postmasters,
Mrs Joanna Meredith,Mrs Joanna Meredith,hierarchy,parent=people - THEMATIC,
Mrs Joanna Meredith,Mrs Joanna Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs Long,Mrs Long,hierarchy,parent=hotelliers,
Mrs Long's Hotel,hotel,merge,Possessive form referring to hotel run by Mrs Long (hotellier) - tag as Hotel + Mrs Long,
Mrs Mary Duff (nee Evans),Mrs Mary Duff (nee Evans),hierarchy,parent=named persons,
Mrs Meredith,Mrs Meredith,hierarchy,parent=people - THEMATIC,
Mrs Meredith,Mrs Meredith,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs Percy Fowles (nee Nimmo),Mrs Percy Fowles (nee Nimmo),hierarchy,parent=named persons,
Mrs Rose Anna (Fanny) Lynch (nee Fisher),Mrs Rose Anna (Fanny) Lynch (nee Fisher),hierarchy,parent=named persons,
Mrs S Hindman,Mrs S Hindman,hierarchy,parent=named persons,
Mrs W Watson,Mrs W Watson,hierarchy,parent=people - THEMATIC,
Mrs W Watson,Mrs W Watson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs Wilson,Mrs Wilson,hierarchy,parent=people - THEMATIC,
Mrs Wilson,Mrs Wilson,keep,Person names - likely different individuals (preserve granularity per folksonomy_logic.md:517-522),
Mrs. A. Smith,Mrs. A. Smith,hierarchy,parent=postmasters,
Mrs. England,Mrs. England,hierarchy,parent=postmasters,
Mrs. H. Corston,Mrs. H. Corston,hierarchy,parent=postmasters,
Mrs. James,Mrs. James,hierarchy,parent=postmasters,
Ms May Porter,Ms May Porter,hierarchy,parent=named persons,
Mt Victoria,Mount Victoria,merge,Variant spelling - standardise to Mount Victoria,
Mt Victoria,Mount Victoria,synonym,Abbreviation of Mount Victoria (town),
Mt Victoria Hotel,Mount Victoria Hotel,synonym,Abbreviation of Mount Victoria Hotel,
N.S.W. Mounted Rifles,NSW Mounted Rifles,synonym,Punctuated form - use minimal punctuation standard NSW Mounted Rifles,
named persons,named persons,hierarchy,parent=people,
Narrow Neck,Narrow Neck,hierarchy,parent=mountain features,
natural features,natural features,hierarchy,parent=environment & weather - THEMATIC,
natural features,natural features,hierarchy,parent=Places (existing facet),
natural features,natural features,hierarchy,parent=tourist attractions - THEMATIC,
Natural resources,Natural resources,hierarchy,parent=environment & weather - THEMATIC,
Natural resources,Natural resources,hierarchy,parent=Environment & Weather - THEMATIC,
Nellie's Glen,Nellie's Glen mining district,synonym,Unqualified form - use mining district qualifier for mining context; gully qualifier for natural feature,
Nellie's Glen (gully),Nellie's Glen (gully),hierarchy,parent=gullies,
Nellie's Glen (settlement),Nellie's Glen (settlement),hierarchy,parent=Nellie's Glen mining district,
Nellie's Glen mining district,Nellie's Glen mining district,hierarchy,parent=mining districts,
Nellie's Glen Road,Nellie's Glen Road,hierarchy,parent=roads,
Nellie's Glen Shale Mine,Nellie's Glen Shale Mine (facility),synonym,Unqualified variant from original Zotero tags,
Nellie's Glen Shale Mine (facility),Nellie's Glen Shale Mine (facility),hierarchy,parent=shale mines,
Nellie's Glen Shale Mine (site),Nellie's Glen Shale Mine (site),hierarchy,parent=Nellie's Glen mining district,
Nellie's Glen Track,Nellie's Glen Road,synonym,Informal local term for same route - prefer formal Road designation,
Nellie's Glen track,Nellie's Glen Road,synonym,Lowercase variant - use Nellie's Glen Road,
nepean football club,nepean football club,hierarchy,parent=football clubs,
New South Wales Police,New South Wales Police,hierarchy,parent=law enforcement,
New South Wales Police,New South Wales Police,hierarchy,parent=justice & crime - THEMATIC,
New South Wales Shale and Oil Co.,New South Wales Shale and Oil Company,synonym,Abbreviated form,
New South Wales Shale and Oil Company,New South Wales Shale and Oil Company,hierarchy,parent=mining companies,
Newcastle,Newcastle,hierarchy,parent=towns,
Nimmo's,Nimmo's,hierarchy,parent=retailers and stores,
NSW Mounted Rifles,NSW Mounted Rifles,hierarchy,parent=military organisations,
NSW Police,New South Wales Police,synonym,Abbreviated form - use full name New South Wales Police,
Oberon,Oberon,hierarchy,parent=towns,
occupations,occupations,hierarchy,parent=people,
Odd Fellows,Independent Order of Odd Fellows,synonym,Common short form of Independent Order of Odd Fellows,
Odd Fellows' Hall,Odd Fellows' Hall,hierarchy,parent=halls,
Odd Fellows' Hall,Odd Fellows' Hall,hierarchy,parent=halls,
Oddfellows,Independent Order of Odd Fellows,synonym,Variant spelling - use full formal name Independent Order of Odd Fellows,
Orama Boarding House (building),Orama Boarding House (building),hierarchy,parent=boarding houses (buildings),
Orama Boarding House (business),Orama Boarding House (business),hierarchy,parent=boarding houses (businesses),
organisations,organisations,hierarchy,parent=Agents,
other crimes,other crimes,hierarchy,parent=crimes - THEMATIC,
other goods and services,other goods and services,hierarchy,parent=occupations,
other government bodies,other government bodies,hierarchy,parent=government bodies,
outdoor recreation club,outdoor recreation club,hierarchy,parent=outdoor recreation clubs (singular generic term),
outdoor recreation clubs,outdoor recreation clubs,hierarchy,parent=sports clubs,
oval,oval,hierarchy,parent=ovals (singular generic term),
ovals,ovals,hierarchy,parent=sports facilities,
Oxford Hotel (Sydney) (building),Oxford Hotel (Sydney) (building),hierarchy,parent=hotels (buildings),
P. Mullany and Company,P. Mullany and Company,hierarchy,parent=retailers and stores,
Parramatta,Parramatta,hierarchy,parent=towns,
Peckman Bros,Peckman Brothers,synonym,Abbreviated form - use full name Peckman Brothers,
Peckman Bros,Peckman Brothers,synonym,Abbreviated form of Peckman Brothers,
Peckman Brothers,Peckman Brothers,hierarchy,parent=retailers and stores,
Peckman family,Peckman family,hierarchy,parent=families,
Penman family,Penman family,hierarchy,parent=families,
Penrith,Penrith,hierarchy,parent=towns,
Penrith Police Court,Penrith Police Court,hierarchy,parent=courts,
Penrith Rugby Club,Penrith Rugby Club,hierarchy,parent=rugby clubs,
people,people,hierarchy,parent=Agents,
people,people,hierarchy,parent=(thematic grouping),
performance groups,performance groups,hierarchy,parent=cultural & recreational organisations,
petition,petition,hierarchy,parent=political events,
Petition,petition,synonym,Capitalized variant from original Zotero tags,
physical and health conditions,physical and health conditions,hierarchy,parent=Associated Concepts,
physical phenomena,physical phenomena,hierarchy,parent=Associated Concepts,
Places,Places,hierarchy,parent=(Getty AAT primary facet),
